t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0097,10.1269697,30,0.410439584,0.000571632054,0
0.0098,10.2088543,30,0.410439584,0.000571632054,0
0.0099,10.2907372,30,0.410439584,0.000571632054,0
0.01,10.3726185,30,0.410439584,0.000571632054,0
0.0101,10.4508054,30,0.391975999,0.00214620646,0
0.0102,10.5289908,30,0.391975999,0.00214620646,0
0.0103,10.6071747,30,0.391975999,0.00214620646,0
0.0104,10.6853569,30,0.391975999,0.00214620646,0
0.0105,10.7635376,30,0.391975999,0.00214620646,0
0.0106,10.8417168,30,0.391975999,0.00214620646,0
0.0107,10.9198944,30,0.391975999,0.00214620646,0
0.0108,10.9980704,30,0.391975999,0.00214620646,0
0.0109,11.0762449,30,0.391975999,0.00214620646,0
0.011,11.1544177,30,0.391975999,0.00214620646,0
0.0111,11.229147,30,0.374765439,0.00332058325,0
0.0112,11.3038748,30,0.374765439,0.00332058325,0
0.0113,11.378601,30,0.374765439,0.00332058325,0
0.0114,11.4533258,30,0.374765439,0.00332058325,0
0.0115,11.5280491,30,0.374765439,0.00332058325,0
0.0116,11.6027708,30,0.374765439,0.00332058325,0
0.0117,11.6774911,30,0.374765439,0.00332058325,0
0.0118,11.7522099,30,0.374765439,0.00332058325,0
0.0119,11.8269272,30,0.374765439,0.00332058325,0
0.012,11.901643,30,0.374765439,0.00332058325,0
0.0121,11.9731336,30,0.358646556,0.00418219354,0
0.0122,12.0446227,30,0.358646556,0.00418219354,0
0.0123,12.1161104,30,0.358646556,0.00418219354,0
0.0124,12.1875967,30,0.358646556,0.00418219354,0
0.0125,12.2590815,30,0.358646556,0.00418219354,0
0.0126,12.330565,30,0.358646556,0.00418219354,0
0.0127,12.4020469,30,0.358646556,0.00418219354,0
0.0128,12.4735275,30,0.358646556,0.00418219354,0
0.0129,12.5450066,30,0.358646556,0.00418219354,0
0.013,12.6164843,30,0.358646556,0.00418219354,0
0.0131,12.6849289,30,0.34348812,0.00479983416,0
0.0132,12.7533722,30,0.34348812,0.00479983416,0
0.0133,12.821814,30,0.34348812,0.00479983416,0
0.0134,12.8902545,30,0.34348812,0.00479983416,0
0.0135,12.9586937,30,0.34348812,0.00479983416,0
0.0136,13.0271314,30,0.34348812,0.00479983416,0
0.0137,13.0955678,30,0.34348812,0.00479983416,0
0.0138,13.1640029,30,0.34348812,0.00479983416,0
0.0139,13.2324365,30,0.34348812,0.00479983416,0
0.014,13.3008688,30,0.34348812,0.00479983416,0
0.0141,13.3664387,30,0.32918279,0.00522762144,0
0.0142,13.4320073,30,0.32918279,0.00522762144,0
0.0143,13.4975745,30,0.32918279,0.00522762144,0
0.0144,13.5631405,30,0.32918279,0.00522762144,0
0.0145,13.6287051,30,0.32918279,0.00522762144,0
0.0146,13.6942685,30,0.32918279,0.00522762144,0
0.0147,13.7598305,30,0.32918279,0.00522762144,0
0.0148,13.8253912,30,0.32918279,0.00522762144,0
0.0149,13.8909506,30,0.32918279,0.00522762144,0
0.015,13.9565087,30,0.32918279,0.00522762144,0
0.0151,14.0193573,30,0.315642205,0.0055081068,0
0.0152,14.0822048,30,0.315642205,0.0055081068,0
0.0153,14.1450509,30,0.315642205,0.0055081068,0
0.0154,14.2078958,30,0.315642205,0.0055081068,0
0.0155,14.2707395,30,0.315642205,0.0055081068,0
0.0156,14.3335819,30,0.315642205,0.0055081068,0
0.0157,14.396423,30,0.315642205,0.0055081068,0
0.0158,14.4592629,30,0.315642205,0.0055081068,0
0.0159,14.5221015,30,0.315642205,0.0055081068,0
0.016,14.5849389,30,0.315642205,0.0055081068,0
0.0161,14.6452052,30,0.302793115,0.0056747318,0
0.0162,14.7054704,30,0.302793115,0.0056747318,0
0.0163,14.7657343,30,0.302793115,0.0056747318,0
0.0164,14.825997,30,0.302793115,0.0056747318,0
0.0165,14.8862585,30,0.302793115,0.0056747318,0
0.0166,14.9465188,30,0.302793115,0.0056747318,0
0.0167,15.0067779,30,0.302793115,0.0056747318,0
0.0168,15.0670357,30,0.302793115,0.0056747318,0
0.0169,15.1272924,30,0.302793115,0.0056747318,0
0.017,15.1875479,30,0.302793115,0.0056747318,0
0.0171,15.2453584,30,0.29057431,0.00575376261,0
0.0172,15.3031678,30,0.29057431,0.00575376261,0
0.0173,15.360976,30,0.29057431,0.00575376261,0
0.0174,15.4187831,30,0.29057431,0.00575376261,0
0.0175,15.476589,30,0.29057431,0.00575376261,0
0.0176,15.5343938,30,0.29057431,0.00575376261,0
0.0177,15.5921973,30,0.29057431,0.00575376261,0
0.0178,15.6499998,30,0.29057431,0.00575376261,0
0.0179,15.7078011,30,0.29057431,0.00575376261,0
0.018,15.7656012,30,0.29057431,0.00575376261,0
0.0181,15.8210722,30,0.278934213,0.00576581441,0
0.0182,15.876542,30,0.278934213,0.00576581441,0
0.0183,15.9320108,30,0.278934213,0.00576581441,0
0.0184,15.9874784,30,0.278934213,0.00576581441,0
0.0185,16.042945,30,0.278934213,0.00576581441,0
0.0186,16.0984104,30,0.278934213,0.00576581441,0
0.0187,16.1538747,30,0.278934213,0.00576581441,0
0.0188,16.2093379,30,0.278934213,0.00576581441,0
0.0189,16.2648,30,0.278934213,0.00576581441,0
0.019,16.320261,30,0.278934213,0.00576581441,0
0.0191,16.3734999,30,0.267828965,0.0057270524,0
0.0192,16.4267377,30,0.267828965,0.0057270524,0
0.0193,16.4799744,30,0.267828965,0.0057270524,0
0.0194,16.5332101,30,0.267828965,0.0057270524,0
0.0195,16.5864447,30,0.267828965,0.0057270524,0
0.0196,16.6396782,30,0.267828965,0.0057270524,0
0.0197,16.6929107,30,0.267828965,0.0057270524,0
0.0198,16.7461421,30,0.267828965,0.0057270524,0
0.0199,16.7993724,30,0.267828965,0.0057270524,0
0.02,16.8526017,30,0.267828965,0.0057270524,0
0.0201,16.9037083,30,0.257220914,0.00565013824,0
0.0202,16.9548139,30,0.257220914,0.00565013824,0
0.0203,17.0059185,30,0.257220914,0.00565013824,0
0.0204,17.057022,30,0.257220914,0.00565013824,0
0.0205,17.1081246,30,0.257220914,0.00565013824,0
0.0206,17.1592261,30,0.257220914,0.00565013824,0
0.0207,17.2103266,30,0.257220914,0.00565013824,0
0.0208,17.261426,30,0.257220914,0.00565013824,0
0.0209,17.3125245,30,0.257220914,0.00565013824,0
0.021,17.3636219,30,0.257220914,0.00565013824,0
0.0211,17.4126896,30,0.247077424,0.00554497567,0
0.0212,17.4617563,30,0.247077424,0.00554497567,0
0.0213,17.5108221,30,0.247077424,0.00554497567,0
0.0214,17.5598869,30,0.247077424,0.00554497567,0
0.0215,17.6089507,30,0.247077424,0.00554497567,0
0.0216,17.6580135,30,0.247077424,0.00554497567,0
0.0217,17.7070753,30,0.247077424,0.00554497567,0
0.0218,17.7561362,30,0.247077424,0.00554497567,0
0.0219,17.8051961,30,0.247077424,0.00554497567,0
0.022,17.8542549,30,0.247077424,0.00554497567,0
0.0221,17.9013714,30,0.237369925,0.005419298,0
0.0222,17.9484869,30,0.237369925,0.005419298,0
0.0223,17.9956014,30,0.237369925,0.005419298,0
0.0224,18.042715,30,0.237369925,0.005419298,0
0.0225,18.0898277,30,0.237369925,0.005419298,0
0.0226,18.1369394,30,0.237369925,0.005419298,0
0.0227,18.1840502,30,0.237369925,0.005419298,0
0.0228,18.23116,30,0.237369925,0.005419298,0
